[14.122247696] 2019-11-10 15:47:50,584 - INFO - launcher: Starting sanity checks
[14.498472214] 2019-11-10 15:47:50,584 - INFO - launcher: Checking for python 3.5+
[14.725446701] 2019-11-10 15:47:50,585 - INFO - launcher: Checking console encoding
[14.950275421] 2019-11-10 15:47:50,585 - INFO - launcher: Ensuring we're in the right folder
[15.424489975] 2019-11-10 15:47:50,585 - INFO - launcher: Checks passed.
[15.666484833] 2019-11-10 15:47:50,586 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[4.7239944934844971] 2019-11-10 15:47:55,294 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 524 in user_song_read: [VALUES] [USER_SONG] ('245028070996574209', 'https://www.youtube.com/watch?v=PmYypVozQb4')
[4.7254877090454102] 2019-11-10 15:47:55,295 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 526 in user_song_read: [ROWS_AFFECTED] 1
[4.7429006099700928] 2019-11-10 15:47:55,313 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 543 in user_song_update: [SQL] [USER_SONG] UPDATE USER_SONG SET ID = %s, URL = %s, PLAY_COUNT = %s, LAST_PLAYED_DT_TM = %s WHERE ID = %s AND URL = %s
[4.7433145046234131] 2019-11-10 15:47:55,313 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 545 in user_song_update: [VALUES] [USER_SONG] (245028070996574209, 'https://www.youtube.com/watch?v=PmYypVozQb4', 5, '2019-11-10 15:47:55', 245028070996574209, 'https://www.youtube.com/watch?v=PmYypVozQb4')
[4.7648315429687500] 2019-11-10 15:47:55,335 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 377 in song_update: [SQL] [SONG] UPDATE SONG SET URL = %s, TITLE = %s, PLAY_COUNT = %s, VOLUME = %s, UPDT_DT_TM = %s, CRET_DT_TM = %s WHERE URL = %s
[4.7652788162231445] 2019-11-10 15:47:55,335 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 379 in song_update: [VALUES] [SONG] ('https://www.youtube.com/watch?v=PmYypVozQb4', 'Sam Smith - How Do You Sleep? (Official Video)', 5, 0.15, '2019-11-10 15:47:55', '2019-08-15 23:22:35', 'https://www.youtube.com/watch?v=PmYypVozQb4')
[4.7666432857513428] 2019-11-10 15:47:55,337 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 381 in song_update: [ROWS_AFFECTED] 1
[5.5829792022705078] 2019-11-10 15:47:56,153 - DEBUG - musicbot.entry | In entry.py::MainThread(140410628687680), line 54 in get_ready_future: Created future for None
[5.6126132011413574] 2019-11-10 15:47:56,183 - WARNING - musicbot.bot | In bot.py::MainThread(140410628687680), line 1626 in on_ready: Your config file is missing some options. If you have recently updated, check the example_options.ini file to see if there are new options available to you. The options missing are: {'token'}
[5.6132926940917969] 2019-11-10 15:47:56,183 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 1148 in on_player_entry_added: Running on_player_entry_added
[5.6137683391571045] 2019-11-10 15:47:56,184 - INFO - musicbot.entry | In entry.py::MainThread(140410628687680), line 285 in _really_download: Download started: https://www.youtube.com/watch?v=PmYypVozQb4
[6.4581344127655029] 2019-11-10 15:47:57,028 - INFO - musicbot.entry | In entry.py::MainThread(140410628687680), line 295 in _really_download: Download complete: https://www.youtube.com/watch?v=PmYypVozQb4
[6.4608390331268311] 2019-11-10 15:47:57,031 - DEBUG - musicbot.entry | In entry.py::MainThread(140410628687680), line 265 in get_mean_volume: Calculating mean volume of /home/ubuntu/dev/MusicBot/../MusicBot/audio_cache/youtube-PmYypVozQb4-Sam_Smith_-_How_Do_You_Sleep_Official_Video.webm
[6.4654941558837891] 2019-11-10 15:47:57,035 - DEBUG - musicbot.entry | In entry.py::MainThread(140410628687680), line 243 in run_command: Starting asyncio subprocess (<Process 7301>) with command: "/usr/bin/ffmpeg" -i "/home/ubuntu/dev/MusicBot/../MusicBot/audio_cache/youtube-PmYypVozQb4-Sam_Smith_-_How_Do_You_Sleep_Official_Video.webm" -af "volumedetect" -f null /dev/null
[7.5841259956359863] 2019-11-10 15:47:58,154 - DEBUG - musicbot.entry | In entry.py::MainThread(140410628687680), line 54 in get_ready_future: Created future for /home/ubuntu/dev/MusicBot/../MusicBot/audio_cache/youtube-PmYypVozQb4-Sam_Smith_-_How_Do_You_Sleep_Official_Video.webm
[7.7974736690521240] 2019-11-10 15:47:58,367 - DEBUG - musicbot.entry | In entry.py::MainThread(140410628687680), line 280 in get_mean_volume: Calculated mean volume as -10.8
[7.7980878353118896] 2019-11-10 15:47:58,368 - FFMPEG - musicbot.player | In player.py::MainThread(140410628687680), line 289 in _play: Creating player with options: -nostdin -af "volume=-0.0dB" /home/ubuntu/dev/MusicBot/../MusicBot/audio_cache/youtube-PmYypVozQb4-Sam_Smith_-_How_Do_You_Sleep_Official_Video.webm
[7.8340697288513184] 2019-11-10 15:47:58,404 - DEBUG - musicbot.player | In player.py::MainThread(140410628687680), line 302 in _play: Playing <musicbot.player.SourcePlaybackCounter object at 0x7fb3d84b9278> using <discord.voice_client.VoiceClient object at 0x7fb3d847f908>
[7.8415565490722656] 2019-11-10 15:47:58,411 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 803 in on_player_play: Running on_player_play
[7.9042623043060303] 2019-11-10 15:47:58,474 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 356 in _song_read: [SQL] [SONG] SELECT * FROM SONG WHERE URL = %s
[7.9047915935516357] 2019-11-10 15:47:58,475 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 358 in _song_read: [VALUES] [SONG] ('https://www.youtube.com/watch?v=PmYypVozQb4',)
[7.9061579704284668] 2019-11-10 15:47:58,476 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 360 in _song_read: [ROWS_AFFECTED] 1
[7.9066450595855713] 2019-11-10 15:47:58,477 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 867 in on_player_play: no channel to put now playing message into
[22.0532295703887939] 2019-11-10 15:48:12,623 - INFO - musicbot.bot | In bot.py::MainThread(140410628687680), line 4206 in on_message: 181268300301336576/Jadedtdt#2063: ~listhas xxx
[22.1000435352325439] 2019-11-10 15:48:12,670 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 440 in user_read: [SQL] [USER] SELECT * FROM USER WHERE ID = %s
[22.1005899906158447] 2019-11-10 15:48:12,670 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 442 in user_read: [VALUES] [USER] ('181268300301336576',)
[22.1201002597808838] 2019-11-10 15:48:12,690 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 440 in user_read: [SQL] [USER] SELECT * FROM USER WHERE ID = %s
[22.1205487251281738] 2019-11-10 15:48:12,690 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 442 in user_read: [VALUES] [USER] ('181268300301336576',)
[22.1937611103057861] 2019-11-10 15:48:12,764 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 53 in _execute: Using adhoc execute, logging for auditing purposes
[22.1942296028137207] 2019-11-10 15:48:12,764 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 54 in _execute: Query: SELECT SONG.* FROM SONG WHERE SONG.TITLE LIKE %s, Params: ['%xxx%']
[22.2127392292022705] 2019-11-10 15:48:12,783 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 60 in _execute: [SQL] [EXECUTE] SELECT SONG.* FROM SONG WHERE SONG.TITLE LIKE %s
[22.2132482528686523] 2019-11-10 15:48:12,783 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 61 in _execute: [VALUES] [EXECUTE] ['%xxx%']
[22.2191615104675293] 2019-11-10 15:48:12,789 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 53 in _execute: Using adhoc execute, logging for auditing purposes
